example address,earliest block,latest block,gas used,code length,code chunks,push bytes,jumpdests,invalid jumpdests,scheme f11,scheme f10,scheme f9,scheme f8
0x60594a405d53811d3bc4766596efd80fd545a270,17000005,19824415,21932694144,22142,692,33.21%,2.96%,0.04%,17,15,16,16
0x473b1887d45d61efd87731a1d8ec3590b93c565d,17000088,17386503,21888706497,18760,587,35.49%,4.39%,0.14%,42,43,43,42
0x0198b65cd2c12eae4fb7ea1996b8470b6c649e11,17000016,19824417,21798941241,2240,70,58.39%,3.44%,0.09%,5,5,5,4
0x5eb5babcefea846b220c82f222f00df95934f5f0,17000003,19824416,21788887130,24493,766,50.71%,2.89%,0.22%,77,79,84,86
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,17000018,19824413,21701114689,22142,692,33.21%,2.96%,0.04%,17,15,16,16
0xf411903cbc70a74d22900a5de66a2dda66507255,17000001,19824417,21643403943,18820,589,49.70%,2.16%,0.04%,14,14,15,15
0x6ca298d2983ab03aa1da7679389d955a4efee15c,17000026,19824413,21362263486,22962,718,32.94%,2.93%,0.03%,16,15,14,14
0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,17065286,19824341,21313341079,23689,741,55.73%,3.21%,0.05%,29,29,27,27
0x98f3c9e6e3face36baad05fe09d375ef1464288b,17000014,19824409,21106207238,680,22,39.85%,4.56%,0,0,0,0,0
0x054086d40cf8fd5bf6200eda7f9c6877b0302dd1,17000011,19824416,21079857502,898,29,52.56%,3.56%,0.22%,3,3,4,4
0x0816df553a89c4bff7ebfd778a9706a989dd3ce3,17000932,19824398,20952882733,2561,81,42.91%,4.41%,0.12%,6,5,6,6
0x8ba40da60f0827d027f029acee62609f0527a255,19612242,19824253,20323012999,23592,738,42.52%,2.90%,0.23%,76,74,76,80
0x0000000005048a67877ab97f60d0e7de0e6878e8,17069899,19824417,20184145638,45,2,46.67%,2.22%,0,0,0,0,0
0x00182fdb0b880ee24d428e3cc39383717677c37e,17000008,19824416,19867581814,2004,63,60.33%,3.14%,0.05%,3,3,3,2
0x2a6c106ae13b558bb9e2ec64bd2f1f7beff3a5e0,17000221,19824390,19820112830,2341,74,58.74%,2.35%,0.04%,2,2,2,1
0x43260ee547c3965bb2a0174763bb8fecc650ba4a,17473959,19692129,19809689996,22383,700,59.76%,2.26%,0.01%,9,8,7,7
0x8ffd57a9b2dcc10327768b601468fa192adc5c86,17000000,18715362,19784745968,3440,108,34.74%,4.59%,0.03%,2,2,2,2
0x1d8f8f00cfa6758d7be78336684788fb0ee0fa46,17000009,19824417,19762980219,11270,353,44.90%,1.87%,0.02%,3,3,4,4
0x510100d5143e011db24e2aa38abe85d73d5b2177,17580248,19824335,19711212410,22142,692,33.21%,2.96%,0.05%,20,18,18,18
0xf164fc0ec4e93095b804a4795bbe1e041497b92a,17000197,19824404,19504031513,16363,512,48.87%,2.18%,0.01%,6,5,6,7
0x00000000219ab540356cbb839cbe05303d7705fa,17000102,19824397,19448275379,6358,199,45.91%,1.93%,0.02%,2,2,3,2
0x99c9fc46f92e8a1c0dec1b1747d010903e884be1,17000026,19824356,19428564914,1825,58,41.04%,3.73%,0.05%,2,2,3,2
0x997c5422f9f9086ed59fe4c703387bb4fd1009f7,18574530,19507905,19421380338,24465,765,46.36%,3.26%,0.04%,21,19,20,22
0xdfda04f980be6a64e3607c95ca26012ab9aa46d3,17445570,19824417,19355144386,7133,223,46.91%,3.10%,0.10%,11,13,14,12
0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,17000021,19824417,19145754308,22142,692,33.21%,2.96%,0.04%,17,15,16,16
0x8390a1da07e376ef7add4be859ba74fb83aa02d5,18496261,19824405,19056960887,6646,208,35.75%,3.72%,0.17%,17,15,16,17
0x1b47a665364bc15c28b05f449b53354d0ceff72f,18549887,19824417,19039955610,9739,305,50.43%,2.78%,0.08%,11,12,12,12
0x01bf66becdcfd6d59a5ca18869f494fea086cdfd,17236654,19824407,18943647664,855,27,54.39%,3.63%,0,0,0,0,0
0x3845badade8e6dff049820680d1f14bd3903a5d0,17000011,19824399,18911053220,7283,228,35.34%,2.80%,0.04%,5,4,4,4
0xc796a402e1b26ecd2cd38f23e05a2f904504ec89,17000000,17118388,18860007596,8203,257,28.64%,3.63%,0.01%,2,3,3,2
0x3903525e5c6cec55d4d38060c3edf05068a7a8d1,17000006,19824417,18728299684,2151,68,62.58%,3.21%,0.14%,6,5,5,5
0x46a15b0b27311cedf172ab29e4f4766fbe7f4364,17000330,19824221,18688399709,24466,765,38.07%,2.99%,0.08%,35,39,36,34
0xfb66321d7c674995dfcc2cb67a30bc978dc862ad,17573478,19824243,18642620567,8122,254,34.70%,3.72%,0.09%,11,10,9,9
0x2f50d538606fa9edd2b11e2446beb18c9d5846bb,17000045,19824404,18619030429,12013,376,37.87%,3.10%,0.06%,14,15,15,14
0xdb8d79c775452a3929b86ac5deab3e9d38e1c006,17023650,19820061,18611754784,20640,645,38.09%,2.97%,0.07%,14,17,16,17
0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,17000006,19824416,18585700917,12769,400,57.79%,2.76%,0.03%,6,7,6,6
0x0f7b3f5a8fed821c5eb60049538a548db2d479ce,17000000,19824416,18561967045,15496,485,41.68%,3.49%,0.14%,29,29,30,31
0x5133522ea5a0494ecb83f26311a095ddd7a9d4b6,17000011,19824402,18559125730,24194,757,40.28%,3.63%,0.18%,55,57,59,53
0x5ac4182a1dd41aeef465e40b82fd326bf66ab82c,17000006,19218532,18511749815,23683,741,52.95%,2.63%,0.02%,9,9,9,10
0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,17000013,19824415,18399082085,6492,203,37.12%,2.85%,0.06%,6,7,6,6
0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,17000003,19824417,18369763648,4317,135,43.60%,4.17%,0.12%,7,7,6,5
0x3154cf16ccdb4c6d922629664174b904d80f2c35,17482144,19824393,18163738537,2513,79,60.01%,3.02%,0,0,0,0,0
0x38ea452219524bb87e18de1c24d3bb59510bd783,17000034,19824368,18123496320,17626,551,41.69%,3.35%,0.06%,17,15,15,16
0x47ce0c6ed5b0ce3d3a51fdb1c52dc66a7c3c2936,17000431,19824400,18076611327,5191,163,37.57%,3.12%,0,0,0,0,0
0xd37bbe5744d730a1d98d8dc97c42f0ca46ad7146,17000028,19824400,17757630112,5141,161,30.81%,3.75%,0,0,0,0,0
0x331399c614ca67dee86733e5a2fba40dbb16827c,19117504,19824415,17601053966,22142,692,33.21%,2.96%,0.08%,33,32,34,32
0xd0da9cbea9c3852c5d63a95f9abcc4f6ea0f9032,17000047,19687753,17530542095,24517,767,37.44%,4.55%,0.15%,51,50,49,44
0x00000000007767d79f9f4aa1ff0d71b8e2e4a231,17923475,19378967,17530478910,21016,657,56.86%,3.37%,0.04%,18,18,17,17
0x9234f83473c03be04358afc3497d6293b2203288,19467761,19816409,17424761004,3293,103,55.78%,3.25%,0.09%,6,5,5,4
0xd56e4eab23cb81f43168f9f45211eb027b9ac7cc,18095292,19824408,17386737415,17173,537,53.51%,2.98%,0.10%,29,34,34,31
0xffa397285ce46fb78c588a9e993286aac68c37cd,17000024,19824389,17203423689,751,24,54.46%,1.73%,0.13%,2,3,3,2
0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,17000027,19824359,17189263638,4337,136,29.19%,4.10%,0.09%,6,5,5,5
0x03f7724180aa6b939894b5ca4314783b0b36b329,17000031,19824401,17086891507,18469,578,37.50%,2.53%,0.01%,5,4,7,8
0x7542565191d074ce84fbfa92cae13acb84788ca9,17001255,19824416,17031768537,3507,110,54.09%,4.13%,0.14%,9,9,9,8
0x2b501381c6d6aff9238526352b1c7560aa35a7c5,17000082,19824398,17031752944,4907,154,40.21%,2.30%,0,0,0,0,0
0x6d010c43d4e96d74c422f2e27370af48711b49bf,17069899,19824389,16960191423,20881,653,42.55%,2.87%,0.02%,11,10,9,9
0x0098af0ceac1238bfa1eb43652a700d1fcd379f0,17000023,19824409,16949041763,2029,64,33.56%,3.20%,0.10%,3,3,3,2
0x2401c39d7ba9e283668a53fcc7b8f5fd9e716fdf,17840887,19824415,16887291595,3874,122,45.17%,4.70%,0.05%,5,4,4,3
0x7effd7b47bfd17e52fb7559d3f924201b9dbff3d,17000010,19824407,16863809908,13783,431,57.33%,2.42%,0.04%,10,9,8,8
0xe28b3b32b6c345a34ff64674606124dd5aceca30,17000038,19824416,16849454632,4324,136,50.46%,2.08%,0.09%,7,7,6,5
0x844eb5c280f38c7462316aad3f338ef9bda62668,18568160,19824330,16841045361,22142,692,33.21%,2.96%,0.05%,22,20,21,22
0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,17000010,19824370,16674393288,21199,663,36.70%,3.58%,0.02%,9,9,12,12
0x60e4d786628fea6478f785a6d7e704777c86a7c6,17000015,19824378,16671959134,23977,750,49.90%,4.73%,0.04%,16,14,16,16
0x14fee680690900ba0cccfc76ad70fd1b95d10e16,17721854,19824413,16659167800,15612,488,37.32%,3.25%,0.09%,25,24,25,23
0xdce93ed9ae7c53143e19cf799d156b72d1cc2777,17197501,19821694,16430841974,22142,692,33.21%,2.96%,0.04%,17,15,16,16
0x99a58482bd75cbab83b27ec03ca68ff489b5788f,17000040,19823602,16386818257,18657,584,45.32%,1.67%,0.03%,16,15,14,14
0x556b9306565093c855aea9ae92a594704c2cd59e,17000016,19824415,16325211844,22845,714,37.59%,2.92%,0.10%,40,40,41,42
0xa06591252908576a0f64a8560ec0c8051782377c,17844096,19824239,16216772336,22142,692,33.21%,2.96%,0.04%,17,15,16,16
0x003a70265a3662342010823bea15dc84c6f7ed54,17000028,19824408,15889329197,22537,705,38.09%,2.46%,0.06%,21,19,17,18
0xa389bf185b301c8e20e79e3098e71399914035df,17926728,18019089,15828103626,10902,341,49.41%,2.75%,0.06%,10,10,9,12
0x423f4e6138e475d85cf7ea071ac92097ed631eea,17844088,19824408,15816411229,4158,130,54.93%,2.91%,0.07%,5,4,4,3
0xc64350c0eab6faed8f17cc2cdff0761c53fb4152,17845222,19824408,15792715203,22142,692,33.21%,2.96%,0.05%,22,20,21,22
0xcf5540fffcdc3d510b18bfca6d2b9987b0772559,17682065,19824408,15738405653,14721,461,31.95%,3.88%,0.03%,10,9,8,9
0x4507cef57c46789ef8d1a19ea45f4216bae2b528,18433991,19824171,15504366405,8617,270,44.91%,2.66%,0.06%,7,7,6,7
0x5e4e65926ba27467555eb562121fac00d24e9dd2,17000001,19647502,15398958115,6558,205,50.56%,2.90%,0.08%,10,10,11,10
0xd533a949740bb3306d119cc777fa900ba034cd52,17000006,19824415,15372649709,4369,137,38.61%,3.69%,0.07%,3,3,3,2
0x1b81d678ffb9c0263b24a97847620c99d213eb14,17144408,19824415,15177200748,12154,380,47.86%,3.14%,0.02%,6,5,5,5
0x9e0905249ceefffb9605e034b534544684a58be6,17000009,19824182,15091236764,22142,692,33.21%,2.96%,0.04%,17,15,16,16
0x00282fd551d03dc033256c4bf119532e8c735d8a,17124867,19824415,14992366586,3020,95,40.30%,3.58%,0.13%,6,5,5,5
0x00a0be1bbc0c99898df7e6524bf16e893c1e3bb9,17791853,19824415,14938529549,3394,107,34.89%,4.27%,0.09%,6,5,5,4
0x080bf510fcbf18b91105470639e9561022937712,17000009,19824231,14796218471,23727,742,50.95%,3.35%,0.17%,58,58,57,59
0xbe5dab4a2e9cd0f27300db4ab94bee3a233aeb19,17000018,17422506,14697854102,8206,257,51.90%,2.97%,0.06%,9,10,11,9
0xf32e58f92e60f4b0a37a69b95d642a471365eae8,18969534,19824390,14399987321,24062,752,52.95%,2.98%,0.07%,29,28,25,27
0xd82fa167727a4dc6d6f55830a2c47abbb4b3a0f8,17184945,19824404,14294375093,12389,388,56.04%,2.57%,0.02%,6,5,5,6
0x1ac1a8feaaea1900c4166deeed0c11cc10669d36,17000219,19824415,14269660231,22962,718,32.94%,2.93%,0.03%,16,15,14,14
0x15e6e0d4ebeac120f9a97e71faa6a0235b85ed12,18520688,19824330,14110905012,3014,95,36.10%,3.52%,0.30%,9,10,11,10
0x663a5c229c09b049e36dcc11a9b0d4a8eb9db214,17000033,19824030,14023969799,21788,681,52.23%,1.81%,0.02%,9,9,9,11
0xa8cb082a5a689e0d594d7da1e2d72a3d63adc1bd,19412607,19824406,13974447747,3034,95,39.91%,4.09%,0.03%,2,2,2,2
0xd0c155595929fd6be034c3848c00daebc6d330f6,19667122,19824415,13914456495,2188,69,43.05%,4.25%,0.05%,2,3,3,2
0x8d90113a1e286a5ab3e496fbd1853f265e5913c6,17000009,19824231,13875532361,9355,293,45.56%,3.24%,0.07%,7,8,8,8
0x2f9ec37d6ccfff1cab21733bdadede11c823ccb0,17000027,19824296,13853143188,13865,434,35.65%,2.63%,0.04%,13,14,13,13
0x932261f9fc8da46c4a22e31b45c4de60623848bf,17000036,19824417,13766677115,6874,215,41.45%,4.00%,0.10%,11,12,11,11
0xc45a81bc23a64ea556ab4cdf08a86b61cdceea8b,18447210,19824393,13699267393,22142,692,33.21%,2.96%,0.05%,22,20,21,22
0xec2432a227440139ddf1044c3fea7ae03203933e,18602523,19824410,13678634904,833,27,49.34%,3.84%,0,0,0,0,0
0x60744434d6339a6b27d73d9eda62b6f66a0a04fa,17002338,19824351,13676793994,6740,211,55.83%,1.68%,0.03%,3,4,5,4
0x7baece5d47f1bc5e1953fbe0e9931d54dab6d810,17168073,19824372,13485957619,22142,692,33.21%,2.96%,0.05%,22,20,21,22
0x0cd6f267b2086bea681e922e19d40512511be538,17258001,19824415,13481808616,45,2,46.67%,2.22%,0,0,0,0,0
0x4bba9b6b49f3dfa6615f079e9d66b0aa68b04a4d,17000001,19824398,13390755064,608,19,35.53%,5.59%,0,0,0,0,0
0x216b4b4ba9f3e719726886d34a177484278bfcae,17000013,19824416,13382712593,2581,81,60.13%,2.83%,0.04%,2,2,2,1
0x5427fefa711eff984124bfbb1ab6fbf5e3da1820,17000031,19824357,13365174295,20574,643,40.05%,3.17%,0.09%,22,23,23,23
0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,17000023,19824401,13323978292,22142,692,33.21%,2.96%,0.04%,17,15,16,16
0xe942cdd0af66ab9ab06515701fa3707ec7deb93e,18783807,19824405,13257900020,7889,247,38.94%,3.99%,0.01%,3,3,3,3
0x35d1b3f3d7966a1dfe207aa4514c12a259a0492b,17000016,19824417,13094815548,13493,422,51.63%,1.83%,0.01%,3,3,4,5
0xa373e7dc4561f82ecced33f017783be8047cf3b3,18601207,19824410,13041763614,10076,315,60.81%,2.96%,0.07%,13,12,11,12
0x9813037ee2218799597d83d4a5b6f3b6778218d9,17000002,19824401,12965667973,7392,231,39.65%,2.50%,0.11%,13,13,13,12
0x34cfac646f301356faa8b21e94227e3583fe3f5f,17000020,19824417,12930033948,24040,752,53.33%,1.65%,0.06%,31,30,31,29
0x4e15361fd6b4bb609fa63c81a2be19d873717870,17000039,19824407,12857208462,9901,310,35.23%,3.90%,0.12%,18,20,24,21
0xff20817765cb7f73d4bde2e66e067e58d11095c2,17000049,19824355,12717029573,13920,435,29.75%,2.40%,0.09%,18,18,16,16
0xf239009a101b6b930a527deaab6961b6e7dec8a6,17063792,19823528,12696689793,22142,692,33.21%,2.96%,0.05%,22,20,21,22
0x0417ce2934899d7130229cda39db456ff2332685,17000489,19824389,12685585122,2091,66,43.71%,3.59%,0.29%,7,8,7,7
0xf819d9cb1c2a819fd991781a822de3ca8607c3c9,17464278,19824413,12617419310,12397,388,39.26%,3.69%,0.17%,31,30,33,31
0x8e0c00ed546602fd9927df742bbabf726d5b0d16,17000116,19824311,12593733720,982,31,54.58%,2.04%,0,0,0,0,0
0xc2c862322e9c97d6244a3506655da95f05246fd8,17000018,19824397,12534311935,1011,32,34.62%,4.75%,0,0,0,0,0
0x1df4c6e36d61416813b42fe32724ef11e363eddc,19139823,19824301,12526142888,22142,692,33.21%,2.96%,0.05%,22,20,21,22
0xde30da39c46104798bb5aa3fe8b9e0e1f348163f,17000126,19824400,12512142674,9477,297,42.39%,2.88%,0.14%,20,19,18,16
0x88df592f8eb5d7bd38bfef7deb0fbc02cf3778a0,17000014,19824415,12292512019,2779,87,54.80%,2.88%,0.04%,2,2,2,1
0x7f86bf177dd4f3494b841a37e810a34dd56c829b,17371470,19824414,12215910098,21789,681,40.97%,1.56%,0.03%,10,10,12,12
0x00000000009726632680fb29d3f7a9734e3010e2,17000002,19824377,12181432658,6909,216,38.54%,3.26%,0.06%,7,8,7,6
0xd061d61a4d941c39e5453435b6345dc261c2fce0,17000124,19824262,12143837989,1536,48,44.08%,3.58%,0,0,0,0,0
0x3506424f91fd33084466f402d5d97f05f8e3b4af,17000010,19824380,12131668782,6113,192,52.00%,2.27%,0.18%,14,15,15,13
0xd0921691c7debc698e6e372c6f74dc01fc9d3778,17000116,19586224,12051122709,6003,188,39.55%,1.45%,0.25%,11,13,13,13
0xb6d149c8dda37aaaa2f8ad0934f2e5682c35890b,19517550,19824416,12035555077,1159,37,37.53%,4.40%,0.09%,2,2,3,2
0xca11bde05977b3631167028862be2a173976ca11,17000004,19824303,12017210500,3808,119,43.30%,3.97%,0.03%,2,2,3,2
0x46950ba8946d7be4594399bcf203fb53e1fd7d37,18286774,19824416,11905135948,11619,364,38.63%,4.47%,0.08%,17,19,18,19
0x52595021fa01b3e14ec6c88953afc8e35dff423c,17000049,19824416,11891742368,8409,263,28.24%,2.78%,0.02%,3,3,3,3
0xe9ff7ca11280553af56d04ecb8be6b8c4468dcb2,17000009,19824371,11826861920,24560,768,35.83%,3.92%,0.19%,58,62,61,56
0x82e0b8cdd80af5930c4452c684e71c861148ec8a,17000011,19821706,11786906462,8888,278,48.50%,4.76%,0.07%,13,12,12,10
0x4a220e6096b25eadb88358cb44068a3248254675,17000003,19824413,11777321772,5155,162,58.45%,1.61%,0.19%,13,13,13,11
0x1eb73fee2090fb1c20105d5ba887e3c3ba14a17e,17238585,19824304,11775538922,24272,759,37.76%,2.97%,0.14%,38,37,34,33
0x57891966931eb4bb6fb81430e6ce0a03aabde063,17000029,19824301,11716560663,2096,66,44.42%,4.39%,0.33%,10,10,9,8
0x5f04d47d698f79d76f85e835930170ff4c4ebdb7,17035255,19824024,11636231427,6393,200,38.64%,4.00%,0.19%,13,14,13,13
0x9e9fbde7c7a83c43913bddc8779158f1368f0413,19139825,19824368,11603567299,8234,258,35.38%,3.61%,0.17%,20,19,17,17
0x7d8146cf21e8d7cbe46054e01588207b51198729,17083240,19824388,11590907648,13048,408,42.29%,3.56%,0.11%,21,20,23,23
0x9d58779365b067d5d3fcc6e92d237acd06f1e6a1,17000001,19824395,11538062213,24505,766,40.27%,3.08%,0.08%,40,38,35,38
0x5a3e6a77ba2f983ec0d371ea3b475f8bc0811ad5,17000052,19824411,11528434737,13271,415,50.80%,4.36%,0.04%,7,7,6,7
0x198063c23ac1317ff3cc57d9f54faac6b675d89f,18489712,19824356,11473053654,22142,692,33.21%,2.96%,0.04%,17,15,16,16
0xa57b8d98dae62b26ec3bcc4a365338157060b234,17000140,19824408,11319277830,21256,665,35.50%,2.42%,0.06%,27,24,25,23
0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,17000039,19824390,11318827193,16790,525,46.67%,2.78%,0.04%,13,13,12,12
0x6a7eff1e2c355ad6eb91bebb5ded49257f3fed98,18922201,19824397,11308670566,21110,660,50.54%,4.48%,0.08%,29,29,27,26
0xc944e90c64b2c07662a292be6244bdf05cda44a7,17000010,19824415,11297351061,6082,191,39.51%,2.55%,0.23%,11,14,14,13
0x05946b1b80ce4de235350d8955c5c751860d5399,17000307,19824342,11284682214,2240,70,58.97%,3.44%,0.09%,5,5,5,4
0x8e8bd01b5a9eb272cc3892a2e40e64a716aa2a40,17000046,19824202,11234172568,5594,175,41.49%,3.84%,0.05%,7,7,6,5
0xad9ef19e289dcbc9ab27b83d2df53cdeff60f02d,19037148,19824241,11231968475,22142,692,33.21%,2.96%,0.08%,33,32,34,32
0x4da27a545c0c5b758a6ba100e3a049001de870f5,17000037,19824273,11157486728,2309,73,40.88%,3.72%,0.09%,5,5,5,4
0xf955c57f9ea9dc8781965feae0b6a2ace2bad6f3,17000240,19824316,10998919036,2136,67,44.15%,3.79%,0.28%,9,8,7,6
0xb9f599ce614feb2e1bbe58f180f370d05b39344e,19117207,19824415,10967216509,3251,102,53.65%,2.92%,0.09%,5,4,4,3
0xeb86a5c40fde917e6fec440abbcdc80e3862e111,17445569,19612141,10942343735,9989,313,43.07%,3.32%,0.12%,18,19,18,20
0x05060f5ab3e7a98e180b418a96ffc82a85b115e7,17000000,19824414,10939934430,1581,50,46.11%,3.86%,0.38%,7,8,7,7
0xaea46a60368a7bd060eec7df8cba43b7ef41ad85,17000055,19824416,10839855170,6318,198,40.91%,2.96%,0.08%,9,9,8,7
0x495f947276749ce646f68ac8c248420045cb7b5e,17000000,19824377,10753156650,17141,536,43.87%,2.40%,0.02%,10,9,11,10
0x0c30062368eefb96bf3ade1218e685306b8e89fa,17240796,19823963,10735047698,22142,692,33.21%,2.96%,0.05%,22,20,21,22
0xd3b4f5b4cf06498e4fbdd71c9da4f5befe01a0ed,18187248,19824225,10614016513,22142,692,33.21%,2.96%,0.05%,22,20,21,22
0x01c42dbb51e0cb91e76bc30345c23c53dfc04c16,17000031,19824415,10600142296,51,2,56.86%,1.96%,1.96%,2,2,2,1
0x9a772018fbd77fcd2d25657e5c547baff3fd7d16,17000013,19824347,10400787153,22142,692,33.21%,2.96%,0.04%,17,15,16,16
0xe43ca1dee3f0fc1e2df73a0745674545f11a59f5,19303355,19824412,10361821700,15688,491,54.60%,2.51%,0.03%,10,9,11,12
0xbe9895146f7af43049ca1c1ae358b0541ea49704,17000005,19824404,10347497486,1852,58,59.40%,3.13%,0.16%,6,5,5,5
0x64bc2ca1be492be7185faa2c8835d9b824c8a194,18192094,19824416,10308536227,2117,67,40.39%,3.83%,0.14%,5,4,4,3
0x6bf5ed59de0e19999d264746843ff931c0133090,17000002,19824362,10265220979,24575,768,34.77%,4.02%,0.16%,53,54,52,48
0x05fa779ce734d3d0569269c184d4aecdcd26ce38,17188130,19823895,10256923257,2068,65,45.65%,4.26%,0.29%,7,8,7,6
0xf8ebf4849f1fa4faf0dff2106a173d3a6cb2eb3a,17078220,19824400,10246970158,8672,271,41.12%,3.60%,0.14%,17,17,17,17
0x002cd3ca0be3ea53528b7e7c9e34abb81fa2e9ac,17004614,19824064,10204865710,45,2,46.67%,2.22%,0,0,0,0,0
0x0a9f824c05a74f577a536a8a0c673183a872dff4,17000002,19802233,10188926293,2705,85,37.82%,3.29%,0.07%,5,4,4,3
0xd80a503a2c2a5dddd8be53fb75bd48f0bb465ed4,17004614,19824064,10178939615,3063,96,41.36%,5.94%,0.07%,5,4,4,3
0xb62e45c3df611dce236a6ddc7a493d79f9dfadef,17372085,19823775,10161349987,7567,237,52.21%,4.47%,0.09%,13,12,12,12
0xa3f558aebaecaf0e11ca4b2199cc5ed341edfd74,17000073,19824394,10081978218,22142,692,33.21%,2.96%,0.04%,17,15,16,16
0x0e3efd5be54cc0f4c64e0d186b0af4b7f2a0e95f,17001206,19824375,10062033816,8297,260,37.60%,3.50%,0.17%,21,20,20,18
0xe7583af5121a8f583efd82767cccfeb71069d93a,17433221,19824388,10056409099,16784,525,47.38%,3.04%,0.10%,25,28,33,31
0x03b59bd1c8b9f6c265ba0c3421923b93f15036fa,17000134,19824258,10043510398,22134,692,47.30%,3.18%,0.04%,10,12,12,13
0x352b186090068eb35d532428676ce510e17ab581,17217114,19821384,10029286541,23074,722,36.78%,3.66%,0.08%,35,38,35,35
0x4c9edd5852cd905f086c759e8383e09bff1e68b3,18571359,19824417,10020074509,7567,237,58.66%,2.58%,0.07%,9,8,7,7
0x6d7812d41a08bc2a910b562d8b56411964a4ed88,17000037,19823844,10015217811,17517,548,35.30%,3.50%,0.22%,51,53,51,55
0x3b604747ad1720c01ded0455728b62c0d2f100f0,17000133,19824416,9983454199,13973,437,40.34%,3.51%,0.04%,9,8,8,8
0x5b9e8728e316bbeb692d22daaab74f6cbf2c4691,17000031,19824415,9982726948,3852,121,30.61%,4.44%,0.03%,3,3,3,2
0xe21876afd4c632b22870df250e5df1754c1875e8,18681848,19824305,9961659939,22142,692,33.21%,2.96%,0.05%,22,20,21,22
0x00c4a73f10b05228c64e971cf81ae84426a64780,17000018,19824244,9938764493,800,25,42.25%,4.25%,0.12%,2,3,3,2
0x21b9f852534fb9ddc3a0a7b24f067b50d8ac9a99,17000023,19824368,9835220712,10945,343,41.18%,3.73%,0.04%,9,8,7,8
0x4ad639fc9c73f547bfff8b28d091d86d2472fa1e,18537431,19507905,9805845580,22526,704,48.20%,3.00%,0.04%,20,20,23,22
0xed5af388653567af2f388e6224dc7c4b3241c544,17000181,19824387,9767445218,14251,446,44.03%,3.45%,0.08%,20,18,17,15
0x767fe9edc9e0df98e07454847909b5e959d7ca0e,17000015,19824412,9736008282,10924,342,41.92%,3.58%,0.14%,20,22,20,21
0x5fdcca53617f4d2b9134b29090c87d01058e27e9,17000012,19824394,9710189183,5720,179,37.26%,2.73%,0.05%,6,7,7,6
0xa920de414ea4ab66b97da1bfe9e6eca7d4219635,17562550,19824310,9656729206,23483,734,45.33%,1.51%,0.10%,31,32,34,34
0x3819f64f282bf135d62168c1e513280daf905e06,17000005,19824407,9638939988,22131,692,36.59%,3.02%,0.07%,21,20,24,23
0x5b7533812759b45c2b44c19e320ba2cd2681b542,17000011,19824400,9636350103,6403,201,41.06%,2.92%,0.06%,6,7,6,5
0xc92e8bdf79f0507f65a392b0ab4667716bfe0110,17000007,19824415,9634517730,4590,144,45.75%,3.64%,0.07%,5,4,4,5
0x0038e74ff4dad34404e74b0cb96db8ca26efc24d,17020068,19824415,9633025704,2721,86,42.56%,3.49%,0.18%,7,7,7,7
0xaaaaaaaaa24eeeb8d57d431224f73832bc34f688,17361673,19824266,9613461204,24164,756,50.32%,3.27%,0.07%,28,27,25,24
0x542dba469bde58faee189ffb60c6b49ce60e0738,17004034,19824342,9537741137,2400,75,58.67%,3.54%,0.04%,3,3,3,2
0x8d29be29923b68abfdd21e541b9374737b49cdad,17000020,19822142,9526587195,620,20,40.65%,2.58%,0,0,0,0,0
0xca71c36d26f515ad0cce1d806b231cbc1185cdfc,17493665,19824064,9510957037,9327,292,37.97%,3.65%,0.04%,10,9,9,8
0x0f5d2fb29fb7d3cfee444a200298f468908cc942,17000006,19824401,9501083039,3045,96,31.99%,4.60%,0.20%,7,7,6,7
0x4c36d2919e407f0cc2ee3c993ccf8ac26d9ce64e,17000056,19824249,9448919981,992,31,39.92%,4.33%,0,0,0,0,0
0x271682deb8c4e0901d1a1550ad2e64d568e69909,17000042,19823602,9439044606,24103,754,53.69%,2.24%,0.13%,50,48,48,46
0x00cb80cf097d9aa9a3779ad8ee7cf98437eae050,17000024,19824405,9376855061,9571,300,52.62%,2.02%,0.05%,7,8,8,8
0x54586be62e3c3580375ae3723c145253060ca0c2,17000144,19824404,9343133486,3405,107,50.84%,2.97%,0.09%,6,7,6,5
0xc77f8768774e1c9244beed705c4354f2113cfc09,17174988,19822554,9316292703,7529,236,40.82%,3.31%,0.07%,10,12,11,10
0x0fe4f44bee93503346a3ac9ee5a26b130a5796d6,18807316,19824417,9291565779,2151,68,44.58%,4.14%,0.33%,10,10,9,8
0xc14d550632db8592d1243edc8b95b0ad06703867,17000134,19824129,9270999643,23773,743,53.97%,2.51%,0.08%,29,29,29,28
0xfaba6f8e4a5e8ab82f62fe7c39859fa577269be3,17000996,19824408,9232523827,11822,370,45.72%,2.72%,0.10%,14,17,16,16
0x435664008f38b0650fbc1c9fc971d0a3bc2f1e47,18634804,19824415,9200481987,22142,692,33.21%,2.96%,0.04%,17,15,16,16
